node,type,area,position,group,education,employer,political party,religion,reference,comments,membership,seat,,
Olivier Dussopt,people,Gouvernement,Secrétaire d’État auprès du ministre de l’Action et des Comptes publics,Action comptes publics,IEP Grenoble,,Parti socialiste,,,Grand Orient de France (pas sûr pour le GODF),Intergroupe de la LICRA,,,
Gérald Darmanin,people,Gouvernement,Ministre de l'action et des comptes publics,Action comptes publics,IEP Lille,,Les Républicains,,420,Judaïsme,,,,
Mathieu Lefevre,people,Gouvernement,Chef de cabinet et conseiller en charge de la synthèse budgétaire,Action comptes publics,,,Les Républicains,,,,,,,
Christophe Guérin-Linxe,people,Gouvernement,"Chef de cabinet, conseiller spécial du secrétaire d'Etat, conseiller presse et communication",Action comptes publics,,,Parti socialiste,,,,,,,
Cécile Collin,people,Gouvernement,Conseillère auprès du ministre de l'action et des comptes publics,Action comptes publics,,"Havas, CSC",Les Républicains,,,,,,,
Florian Colas,people,Gouvernement,Conseiller,Action comptes publics,"Sciences Po Paris, ENA (promotion Marie Curie)","Wendel, Inspection Générale des Finances, Astrium, Lafarge, Lehman Brothers",,,,,,,,
Arnaud Wieber,people,Gouvernement,Conseiller au cabinet du ministre de l'action et des comptes publics,Action comptes publics,Sciences Po Bordeaux,"Sénat, Assemblée nationale, Conseil de l'Europe",,,,,,,,
Renan Megy,people,Gouvernement,"Conseiller budgétaire et fiscal, en charge de la fonction publique territoriale et du suivi de l'exécution des réformes",Action comptes publics,,"Chambre régionale des comptes, Métropole Européenne de Lille, Grand Lyon, communauté urbaine",,,,,,,,
Matthieu Ellerbach,people,Gouvernement,"Conseiller en charge de la communication, de la presse et de l'opinion",Action comptes publics,Sciences Po Paris,Brunswick Group,Les Républicains,,,,,,,
Alexandre Brugère,people,Gouvernement,Conseiller en charge de la réforme de l'Etat et du suivi de l'exécution des réformes,Action comptes publics,,Eurogroup Consulting,Les Républicains,,,,,,,
Louis d'Humières,people,Gouvernement,Conseiller en charge du budget de l'État,Action comptes publics,"HEC, École de guerre",Rothschild (stagiaire),,,,,,,,
Clément Méric,people,Gouvernement,Conseiller technique en charge des déplacements et de la presse,Action comptes publics,,,,,,,,,,
Pauline Hodille,people,Gouvernement,Conseillère en charge des comptes sociaux,Action comptes publics,ENA,,,,,,,,,
Élise Valetoux,people,Gouvernement,Conseillère en charge des relations avec le Parlement et de la fiscalité,Action comptes publics,,Assemblée nationale,,,,,,,,
Elsa Michonneau,people,Gouvernement,"Conseillère parlementaire, en charge des relations avec les élus et les territoires",Action comptes publics,,"Assemblée nationale  (collaboratrice parlementaire de Bruno Studer et de Olivier Dussopt), Métropole de Lyon, Ministère de la Ville, de la Jeunesse et des Sports, Assemblée nationale (collaboratrice parlementaire de Thierry Braillard, puis de Gilda Hobert)",Parti radical de gauche,,,,,,,
Alain Triolle,people,Gouvernement,"Directeur de cabinet, en charge du suivi de la réforme des retraites",Action comptes publics,ENA (promotion Antoine de Saint-Exupéry),,,,,,,,,
Jérôme Fournel,people,Gouvernement,Directeur du Cabinet,Action comptes publics,"ENA, HEC",FMI,Les Républicains,,,,,,,
Marine Darnault,people,Gouvernement,"Directrice adjointe de cabinet, en charge de la fonction publique",Action comptes publics,"ENA, ESSEC, Sciences Po Paris","Musée de l'Armée, Réunion des Musées Nationaux, Direction générale de la cohésion sociale",,,,,,,,
Justine Coutard,people,Gouvernement,Directrice du cabinet,Action comptes publics,"Sciences Po Paris, ENA","Groupe ADP, Inspection des finances",,,,,,,,
Jean-Yves Le Drian,people,Gouvernement,Ministre de l'Europe et des affaires étrangères,Affaires étrangères,,,Parti socialiste,,347,Grand Orient de France,,,,
Joachim Bokobza,people,Gouvernement,"Conseiller commerce extérieur, politique commerciale, tourisme, budget",Affaires étrangères,"Corps des Mines, Mines ParisTech, Princeton University, Polytechnique","Direction générale du Trésor, Commission européenne, BNP Paribas (stagiaire)",,,,Judaïsme,,,,
François Decoster,people,Gouvernement,Directeur de cabinet,Affaires étrangères,Sciences Po Paris,"Communauté d'Agglomération du Pays de Saint-Omer, Le Comité européen des régions, Hill+Knowlton Strategies",,,,Membre du Rotary,,,,
Margaux Bergeon-Dars,people,Gouvernement,"Conseillère Europe continentale, Nations unies et organisations internationales",Affaires étrangères,"ENS, Sciences Po Paris",,,,,Parle l'hébreux... (c'est indiqué sur son profil LinkedIn),,,,
Laurent Doraï,people,Gouvernement,Directeur adjoint du cabinet du secrétaire d'Etat,Affaires étrangères,,"Philip Morris, Assemblée nationale (Directeur de cabinet adjoint de Claude Bartolone)",Parti socialiste,,,,,,,
Arnaud Jayet,people,Gouvernement,Chef de cabinet,Affaires étrangères,,,Les Républicains,,,,,,,
Fanny Demassieux,people,Gouvernement,Chef du cabinet,Affaires étrangères,IEP Grenoble,"UNEP, Agence Française de Développement",Parti socialiste,,,,,,,
Simond de Galbert,people,Gouvernement,"Conseiller affaires stratégiques, Amériques",Affaires étrangères,"Ena, Sciences Po Paris",,,,,,,,,
Olivier Decottignies,people,Gouvernement,"Conseiller Afrique du Nord, Moyen-Orient",Affaires étrangères,"ENS, Sciences Po Paris, EHESS",,,,,,,,,
Jérémie Robert,people,Gouvernement,"Conseiller Afrique, développement",Affaires étrangères,,,,,,,,,,
Augustin Favereau,people,Gouvernement,"Conseiller diplomatie culturelle, influence, francophonie, chargé du suivi de l'exécution des réformes",Affaires étrangères,"Sciences Po Paris, Freie Universität Berlin","Ministère des Affaires étrangères, EUNIC, Consulat général de France à Jérusalem, Ministère de l'Agriculture, Ministère allemand des affaires étrangères",,,,,,,,
Baptiste Prudhomme,people,Gouvernement,Conseiller politique et parlementaire,Affaires étrangères,,,Parti socialiste,,,,,,,
Myriam Pavageau,people,Gouvernement,"Conseillère affaires stratégiques, Asie",Affaires étrangères,Sciences Po Paris,,,,,,,,,
François Courant,people,Gouvernement,"Conseiller chargé des affaires diplomatiques, des Français de l'étranger, du développement et de la francophonie",Affaires étrangères,,,,,,,,,,
Camille Petit,people,Gouvernement,"Conseillère Asie, affaires juridiques et consulaires",Affaires étrangères,,,,,,,,,,
Véronique Le Goff,people,Gouvernement,Conseillère communication et presse,Affaires étrangères,,"Havas, Groupama",Parti socialiste,,,,,,,
Nathalie Fortis,people,Gouvernement,"Conseillère auprès du secrétaire d'État, chargée de la communication et des relations avec la presse",Affaires étrangères,,,,,,,,,,
Constance Jacquin,people,Gouvernement,Conseillère en charge des relations politiques et parlementaires,Affaires étrangères,,,Les Républicains,,,,,,,
Charlotte Baratin,people,Gouvernement,"Conseillère questions financières, budgétaires, économiques, agricoles et outre-mer",Affaires étrangères,"ENS, ENA (promotion Jean de la Fontaine)","TheFamily, La Banque Postale, Parlement européen",,,,,,,,
Emmanuel Puisais-Jauvin,people,Gouvernement,Directeur adjoint de cabinet,Affaires étrangères,,,,,,,,,,
Luis Vassy,people,Gouvernement,Directeur de cabinet,Affaires étrangères,"ENS, Sciences Po Paris, ENA",,Parti socialiste,,415,,,,,
Nicolas Roche,people,Gouvernement,Directeur de cabinet du ministre,Affaires étrangères,"Ecole des Chartes, Sciences Po Paris, ENA",,,,,,,,,
Jean-Baptiste Lemoyne,people,Gouvernement,Secrétaire d'État auprès du ministre de l'Europe et des Affaires étrangères,Affaires étrangères,"St Cyr, ESSEC, IEP Strasbourg",IBM Global Services,Les Républicains,,458,,,,,
Amélie de Montchalin,people,Gouvernement,"Secrétaire d'Etat auprès du ministre de l'Europe et des Affaires étrangères, chargée des Affaires européennes",Affaires européennes,"HEC, Harvard Kennedy School of Government","BNP Paribas, Axa",Les Républicains,,,Young Leaders 2018,Intergroupe de la LICRA,,Essonne,Ile-de-France
